,imgseq,timestamp,broken
0,1_out.png,1530124348941801859,True
1,2_out.png,1530124349141580148,True
2,3_out.png,1530124349341750745,True
3,4_out.png,1530124349541742455,True
4,5_out.png,1530124349741748508,True
5,6_out.png,1530124349941710632,True
6,7_out.png,1530124350141833248,True
7,8_out.png,1530124350341732681,True
8,9_out.png,1530124350541773078,True
9,10_out.png,1530124350741746775,True
10,11_out.png,1530124350941622166,True
11,12_out.png,1530124351141662412,True
12,13_out.png,1530124351341701402,True
13,14_out.png,1530124351541773402,True
14,15_out.png,1530124351741728318,True
15,16_out.png,1530124351941846379,True
16,17_out.png,1530124352141773599,True
17,18_out.png,1530124352341757236,True
18,19_out.png,1530124352541687950,True
19,20_out.png,1530124352741698924,True
20,21_out.png,1530124352942132318,True
21,22_out.png,1530124353141998206,True
22,23_out.png,1530124353341740674,True
23,24_out.png,1530124353541842398,True
24,25_out.png,1530124353741636526,True
25,26_out.png,1530124353941818124,True
26,27_out.png,1530124354141622761,True
27,28_out.png,1530124354341733526,True
28,29_out.png,1530124354541775521,True
29,30_out.png,1530124354742007861,True
30,31_out.png,1530124354941957042,True
31,32_out.png,1530124355142616318,True
32,33_out.png,1530124355341598236,True
33,34_out.png,1530124355541889719,True
34,35_out.png,1530124355741627101,True
35,36_out.png,1530124355941923979,True
36,37_out.png,1530124356141789843,True
37,38_out.png,1530124356342009820,True
38,39_out.png,1530124356541786278,True
39,40_out.png,1530124356742001619,True
40,41_out.png,1530124356941829785,True
41,42_out.png,1530124357141959866,True
42,43_out.png,1530124357341792254,True
43,44_out.png,1530124357541837314,True
44,45_out.png,1530124357741606135,True
45,46_out.png,1530124357941717502,True
46,47_out.png,1530124358141638991,True
47,48_out.png,1530124358341899029,True
48,49_out.png,1530124358541666082,True
49,50_out.png,1530124358741829425,True
50,51_out.png,1530124358941654866,True
51,52_out.png,1530124359141609577,True
52,53_out.png,1530124359341984464,True
53,54_out.png,1530124359542030832,True
54,55_out.png,1530124359741705542,True
55,56_out.png,1530124359941982095,True
56,57_out.png,1530124360141577987,True
57,58_out.png,1530124360342005938,True
58,59_out.png,1530124360541653125,False
59,60_out.png,1530124360741781352,False
60,61_out.png,1530124360941620518,False
61,62_out.png,1530124361141812130,False
62,63_out.png,1530124361341706971,False
63,64_out.png,1530124361541762825,False
64,65_out.png,1530124361741715449,False
65,66_out.png,1530124361942012510,False
66,67_out.png,1530124362141752336,False
67,68_out.png,1530124362341703019,False
68,69_out.png,1530124362541824496,False
69,70_out.png,1530124362741887473,False
70,71_out.png,1530124362941633954,False
71,72_out.png,1530124363141754602,False
72,73_out.png,1530124363341789669,False
